delta,start,objective,theta,software_success,projected_grad_inf,active_bounds,policy_effect,message,lr,in_95_set
1.5,0,342.3752269224314,"[1.1191571220246028, 0.8368710052214147, -0.9676382602852563, 1.5, 0.16575330093109256]",True,6.16021847399395e-06,,0.07311736934440338,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.24634986367516376,True
1.5,1,342.3752269224313,"[1.1191572015102518, 0.8368711329071647, -0.9676381338418746, 1.5, 0.16575343346533572]",True,1.158161739844843e-07,,0.07311737639104444,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2463498636749364,True
1.5,2,342.3752269224313,"[1.119157221057656, 0.8368711410018669, -0.9676380823086399, 1.5, 0.16575345584410167]",True,2.3239354023374403e-06,,0.07311737623865729,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2463498636749364,True
1.55,0,342.3732506722422,"[1.1262268530793709, 0.8419351797376653, -1.0057010396811552, 1.55, 0.16837581311443137]",True,7.045011120587752e-06,,0.07317119694980476,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.24239736329673178,True
1.55,1,342.3732506722388,"[1.126226410432851, 0.841935138487506, -1.0057041337495882, 1.55, 0.16837423620026734]",True,4.993074251835594e-07,,0.07317122783786922,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.24239736328991057,True
1.55,2,342.373250672239,"[1.1262262939962522, 0.8419350448577866, -1.0057048702103852, 1.55, 0.16837380346069705]",True,2.734827335038048e-06,,0.07317122937573524,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.24239736329036532,True
1.5999999999999999,0,342.3711318714022,"[1.1336441262886596, 0.8472409517635363, -1.0436046900318308, 1.5999999999999999, 0.17096897207118616]",True,1.4360122744250248e-06,,0.07322838433549944,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.238159761616771,True
1.5999999999999999,1,342.37113187140255,"[1.1336438600935257, 0.8472406167935065, -1.0436056266019405, 1.5999999999999999, 0.17096830506087318]",True,2.6873253595738333e-06,,0.07322837236624406,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23815976161745311,True
1.5999999999999999,2,342.37113187140267,"[1.1336443822998417, 0.8472409679319619, -1.0436037769948119, 1.5999999999999999, 0.17096939007686723]",True,3.1417057297922213e-06,,0.07322837418475252,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2381597616176805,True
1.65,0,342.36886778327863,"[1.1414174914163997, 0.8527926030235914, -1.081334292315931, 1.65, 0.17354335570920265]",True,1.378211994196299e-06,,0.07328888695603962,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23363158536960782,True
1.65,1,342.36886778327846,"[1.1414177719578809, 0.8527928311713199, -1.0813334530788858, 1.65, 0.17354386682710482]",True,1.105517787092225e-06,,0.07328889197393397,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23363158536926676,True
1.65,2,342.36886778329693,"[1.141417307069838, 0.8527913558334996, -1.0813346605429432, 1.65, 0.17354207472767877]",True,7.772045309373254e-05,,0.07328880361916873,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23363158540621498,False
1.7,0,342.3664559821334,"[1.1495548290917141, 0.8585945530446992, -1.1188835067676155, 1.7, 0.1761041880976503]",True,1.6477408864457033e-05,,0.07335275756737339,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2288079830791503,True
1.7,1,342.3664559821318,"[1.1495546478745193, 0.858594969820335, -1.1188847953511885, 1.7, 0.17610386650238363]",True,2.9828248997443296e-06,,0.0733528005908603,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.22880798307596706,True
1.7,2,342.3664559821317,"[1.1495546637363643, 0.8585949244933024, -1.1188847658763015, 1.7, 0.17610385754581281]",True,3.958767789136175e-06,,0.07335279711206172,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.22880798307573968,True
1.75,0,342.363894356822,"[1.1580621882103368, 0.8646506902722546, -1.1562522820223264, 1.75, 0.1786528723438188]",True,2.744478499128178e-05,,0.0734200917209095,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.22368473245637688,False
1.75,1,342.36389435683134,"[1.1580623432194845, 0.8646511727247228, -1.1562551310944695, 1.75, 0.17865183435979157]",True,2.400642224298366e-05,,0.07342015213751714,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.22368473247502152,False
