index,start_id,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_max,optimizer_success,accepted,status,message,nit,distance_from_best
0.2,2,"[-1.2, 0.0, -0.5108256237659907, 0.26236426446749106, 0.4]","[-1.015579645004997, 1.272919505035685, -0.5689860593123991, 0.7928817408433677, 0.5377821112626682]",1317.5749500099625,"[4.428439480008706e-06, 3.812227397616852e-06, -5.275448346608869e-06, -2.1287075373521702e-06, -1.2576809909070619e-06]","[4.428439480008706e-06, 3.812227397616852e-06, -5.275448346608869e-06, -2.1287075373521702e-06, -1.2576809909070619e-06]",5.275448346608869e-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,0.0
0.2,3,"[-0.6, 0.4054651081081644, 0.0, -0.35667494393873245, 0.8]","[-1.0155796250964848, 1.27291922679972, -0.5689860823025769, 0.7928815226438349, 0.5377820875206574]",1317.5749500099637,"[1.0613483323318462e-06, -1.1549190610595586e-05, -1.1058930923013577e-05, 5.13806614677037e-06, -3.7580847314089283e-06]","[1.0613483323318462e-06, -1.1549190610595586e-05, -1.1058930923013577e-05, 5.13806614677037e-06, -3.7580847314089283e-06]",1.1549190610595586e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,1.1368683772161603e-12
0.2,4,"[-1.8, 0.7884573603642703, -0.916290731874155, 0.5877866649021191, 0.1]","[-1.0155780300809603, 1.2729174002287655, -0.5689849635643582, 0.7928803713050742, 0.5377823575478485]",1317.5749500100287,"[9.001793801877156e-05, -4.991862185989298e-06, -9.729934353330805e-05, -3.591685019266322e-05, 0.0001525531047859019]","[9.001793801877156e-05, -4.991862185989298e-06, -9.729934353330805e-05, -3.591685019266322e-05, 0.0001525531047859019]",0.0001525531047859019,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,6.616573955398053e-11
0.2,5,"[-0.2, -0.6931471805599453, 0.5306282510621704, -0.6931471805599453, 1.0]","[-1.01557944573071, 1.2729186011194096, -0.5689859230339201, 0.7928809436933264, 0.5377818541270822]",1317.5749500099791,"[-1.5011254264063467e-05, -2.415729817877409e-05, -1.423080938423027e-06, 6.7213401884202995e-06, -8.132912690239635e-05]","[-1.5011254264063467e-05, -2.415729817877409e-05, -1.423080938423027e-06, 6.7213401884202995e-06, -8.132912690239635e-05]",8.132912690239635e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,1.659827830735594e-11
0.25,0,"[-1.015579645004997, 1.272919505035685, -0.5689860593123991, 0.7928817408433677, 0.5377821112626682]","[-1.1866582498945968, 1.23615406416043, -0.7112406891552823, 0.7267360003250029, 0.5389023102471392]",1317.374868572554,"[-9.709992689899138e-07, -1.054543278486541e-06, -2.135804882286152e-06, -5.6294994870143e-06, 5.300975637556604e-06]","[-9.709992689899138e-07, -1.054543278486541e-06, -2.135804882286152e-06, -5.6294994870143e-06, 5.300975637556604e-06]",5.6294994870143e-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,9.094947017729282e-13
0.25,1,"[-2.0209576691605418, 1.2070154455693403, -2.0, 0.4844749849827514, 0.5381854602783698]","[-1.18665779759211, 1.236153914197382, -0.7112403935673282, 0.7267360719651261, 0.5389023680442495]",1317.374868572556,"[1.7375926167240152e-05, -2.5126047960342826e-07, -1.4936582070745885e-05, -4.650637134062663e-06, 3.598206918864477e-05]","[1.7375926167240152e-05, -2.5126047960342826e-07, -1.4936582070745885e-05, -4.650637134062663e-06, 3.598206918864477e-05]",3.598206918864477e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,2.7284841053187847e-12
0.25,2,"[-1.2, 0.0, -0.5108256237659907, 0.26236426446749106, 0.4]","[-1.1866582153270964, 1.2361542007845425, -0.7112406985452873, 0.7267361570631062, 0.5389023033850612]",1317.3748685725532,"[4.56180519092797e-06, 5.9805672442966125e-06, -3.4960132158090573e-06, -6.66965387630114e-06, 2.465653541783297e-06]","[4.56180519092797e-06, 5.9805672442966125e-06, -3.4960132158090573e-06, -6.66965387630114e-06, 2.465653541783297e-06]",6.66965387630114e-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,0.0
0.25,3,"[-0.6, 0.4054651081081644, 0.0, -0.35667494393873245, 0.8]","[-1.1866581922314474, 1.2361541225558916, -0.7112406849496252, 0.7267360615591003, 0.5389023073933776]",1317.3748685725539,"[1.6497008891835918e-05, 1.802091218597384e-05, -1.2368140266616479e-05, -2.2303941111800896e-05, 8.801165616301176e-06]","[1.6497008891835918e-05, 1.802091218597384e-05, -1.2368140266616479e-05, -2.2303941111800896e-05, 8.801165616301176e-06]",2.2303941111800896e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,6.821210263296962e-13
0.25,4,"[-1.8, 0.7884573603642703, -0.916290731874155, 0.5877866649021191, 0.1]","[-1.186656772658292, 1.2361524362111747, -0.7112377138237085, 0.726734222251027, 0.5389029222863875]",1317.3748685727428,"[-4.811026828521747e-05, 5.279180432968036e-05, 9.405425901221065e-05, -7.436784731140733e-05, 0.00018928966321762886]","[-4.811026828521747e-05, 5.279180432968036e-05, 9.405425901221065e-05, -7.436784731140733e-05, 0.00018928966321762886]",0.00018928966321762886,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,1.8962964531965554e-10
0.25,5,"[-0.2, -0.6931471805599453, 0.5306282510621704, -0.6931471805599453, 1.0]","[-1.1866582915900972, 1.2361541630585005, -0.7112407392945508, 0.7267360878306992, 0.538902311262233]",1317.3748685725536,"[-3.0005729900750566e-07, 1.1672887918209754e-06, -1.7474061806410646e-06, -4.934516155685742e-06, 4.2318860220547094e-06]","[-3.0005729900750566e-07, 1.1672887918209754e-06, -1.7474061806410646e-06, -4.934516155685742e-06, 4.2318860220547094e-06]",4.934516155685742e-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35,4.547473508864641e-13
