estimator,start,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_inf,active_bounds,solver_success,status,message,distance_from_best_objective,sigma_index,accepted
profile_sigma_0.30,2,"[0.8317734213910315, 0.48645540641550017, -0.711706235381754, -0.370097910692494, -0.6670816792860842]","[0.6488702699256208, 0.29713239004674113, -0.7404788512663635, -0.542588406659506, -0.6386504805940868]",1741.8548392168902,"[2.2737367430073406e-05, -4.54747351125823e-05, -9.094946972029363e-05, 0.00020463630687066067, -6.821210229022023e-05]","[2.2737367430073406e-05, -4.54747351125823e-05, -9.094946972029363e-05, 0.00020463630687066067, -6.821210229022023e-05]",0.00020463630687066067,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.5006662579253316e-11,0.3,True
profile_sigma_0.30,3,"[0.9784031564467124, 0.5709098908775917, -0.7037975762555709, -0.4258116479844337, -0.8235821705016729]","[0.6488710079681237, 0.29713259514126755, -0.7404787740916281, -0.5425885620526613, -0.6386500240938306]",1741.8548392168823,"[2.2737367430073406e-05, 2.273736755629115e-05, 2.2737367430073406e-05, 0.0, 2.2737367430073406e-05]","[2.2737367430073406e-05, 2.273736755629115e-05, 2.2737367430073406e-05, 0.0, 2.2737367430073406e-05]",2.273736755629115e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.048583938740194e-12,0.3,True
profile_sigma_0.30,4,"[0.6464912853776554, 0.7070493256165968, -0.43341989848682155, -0.4384637709587491, -0.43536405198594924]","[0.648870446993607, 0.2971319340274518, -0.7404788820390755, -0.542588532257041, -0.6386491375649089]",1741.854839216895,"[0.0, 0.0, 0.0, -4.547473486014681e-05, 9.094946972029363e-05]","[0.0, 0.0, 0.0, -4.547473486014681e-05, 9.094946972029363e-05]",9.094946972029363e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.978150976356119e-11,0.3,True
profile_sigma_0.30,5,"[0.4588155462946598, 0.24676544178804682, -0.810786656630972, -0.37787766083436736, -0.6717585368513445]","[0.6488706565895759, 0.297132517733369, -0.740478836079687, -0.5425885221520926, -0.6386500129721877]",1741.8548392168752,"[2.2737367430073406e-05, 2.273736755629115e-05, -2.2737367430073406e-05, -2.2737367430073406e-05, 0.0]","[2.2737367430073406e-05, 2.273736755629115e-05, -2.2737367430073406e-05, -2.2737367430073406e-05, 0.0]",2.273736755629115e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.3,True
profile_sigma_0.40,0,"[0.6590993567403443, 0.3096406450454383, -0.770894139448943, -0.5590131448096968, -0.6566919837007335]","[0.6560364669345539, 0.30629929350244567, -0.7630530554549686, -0.554769091193047, -0.652060080084845]",1739.9734280916923,"[0.001114131004073597, -0.00025011104311920267, 0.0015461409852449918, 0.004820321895175563, -0.00022737367430073407]","[0.001114131004073597, -0.00025011104311920267, 0.0015461409852449918, 0.004820321895175563, -0.00022737367430073407]",0.004820321895175563,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.118821253650822e-09,0.4,False
profile_sigma_0.40,1,"[0.5843946158635641, 0.5932140356359514, -0.6982652075538249, -0.5873388924869973, -0.6862893336088899]","[0.6560262148370245, 0.3062973714592571, -0.7630568309690604, -0.5547691731204287, -0.6520560228354367]",1739.9734280825774,"[4.547473486014681e-05, 2.273736755629115e-05, 6.821210229022023e-05, 0.0, 4.547473486014681e-05]","[4.547473486014681e-05, 2.273736755629115e-05, 6.821210229022023e-05, 0.0, 4.547473486014681e-05]",6.821210229022023e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.865352482534945e-12,0.4,True
profile_sigma_0.40,2,"[0.7208505558445895, 0.3172966140444746, -1.033104065856413, -0.6387449605289304, -0.6948009875716921]","[0.65602518091651, 0.3062975819122315, -0.7630572429345347, -0.5547690536196852, -0.6520562596194137]",1739.9734280826117,"[0.0, 9.09494702251646e-05, -0.00025011104173080747, 0.00022737367430073407, 6.821210229022023e-05]","[0.0, 9.09494702251646e-05, -0.00025011104173080747, 0.00022737367430073407, 6.821210229022023e-05]",0.00025011104173080747,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.8198777474462986e-11,0.4,True
profile_sigma_0.40,3,"[0.6279902226837653, 0.29272122308831233, -0.6750369375302155, -0.912176860486575, -0.5988314062089732]","[0.6560294560161533, 0.30629819706267125, -0.7630566136156473, -0.5547696031747114, -0.6520564666294005]",1739.9734280828584,"[0.00015916157201051386, -9.09494702251646e-05, 0.00011368683715036704, 2.2737367430073406e-05, 0.0]","[0.00015916157201051386, -9.09494702251646e-05, 0.00011368683715036704, 2.2737367430073406e-05, 0.0]",0.00015916157201051386,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.8489921533036977e-10,0.4,True
profile_sigma_0.40,4,"[0.6179402118585307, 0.7060199615663415, -0.9017657870314204, -0.7331295551411454, -0.8070151706117913]","[0.6560254370708624, 0.30629683169192967, -0.7630569505477923, -0.5547690687492541, -0.6520557928333456]",1739.9734280825735,"[2.2737367430073406e-05, -4.54747351125823e-05, -6.821210229022023e-05, -2.2737367430073406e-05, 2.2737367430073406e-05]","[2.2737367430073406e-05, -4.54747351125823e-05, -6.821210229022023e-05, -2.2737367430073406e-05, 2.2737367430073406e-05]",6.821210229022023e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.4,True
profile_sigma_0.40,5,"[0.4111960569178827, 0.44723393112835746, -0.710414984119109, -0.5570580716685452, -0.809909924589555]","[0.6560253680665059, 0.3062970205524319, -0.7630566679798052, -0.5547689953534617, -0.6520545669563073]",1739.9734280828216,"[4.547473486014681e-05, 0.00027284841067549384, 0.00013642420458044046, 0.0006593836554721289, 0.0003183231440210277]","[4.547473486014681e-05, 0.00027284841067549384, 0.00013642420458044046, 0.0006593836554721289, 0.0003183231440210277]",0.0006593836554721289,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.480646799085662e-10,0.4,True
