seed,scenario,market,root_success,independent_raw_foc_max,finite_difference_profit_gradient_max,independent_solve_price_gap,accepted
48101.0,baseline,95.0,True,5.898059818321144e-17,5.551115123125783e-11,1.6417978088156815e-12,True
48101.0,baseline,96.0,True,2.7755575615628914e-17,0.0,3.3895064532885044e-10,True
48101.0,baseline,97.0,True,9.159339953157541e-16,2.7755575615628914e-11,5.329070518200751e-15,True
48101.0,baseline,98.0,True,3.885780586188048e-16,5.551115123125783e-11,5.098144129078719e-13,True
48101.0,baseline,99.0,True,1.5959455978986625e-16,2.7755575615628914e-11,7.939142676605115e-10,True
48101.0,baseline,100.0,True,1.7139067942650854e-15,2.7755575615628914e-11,6.52811138479592e-14,True
48101.0,baseline,101.0,True,6.467049118441537e-15,5.551115123125783e-11,3.1530333899354446e-14,True
48101.0,baseline,102.0,True,6.245004513516506e-17,2.7755575615628914e-11,6.661338147750939e-14,True
48101.0,baseline,103.0,True,5.412337245047638e-16,5.551115123125783e-11,4.4719783431901305e-13,True
48101.0,baseline,104.0,True,4.0245584642661925e-15,2.7755575615628914e-11,1.9539925233402755e-14,True
48101.0,baseline,105.0,True,2.7755575615628914e-17,2.7755575615628914e-11,7.866152174074159e-12,True
48101.0,baseline,106.0,True,1.1102230246251565e-16,0.0,2.184918912462308e-13,True
48101.0,baseline,107.0,True,6.217248937900877e-15,2.7755575615628914e-11,5.1958437552457326e-14,True
48101.0,baseline,108.0,True,3.8163916471489756e-17,2.7755575615628914e-11,2.489057848720222e-10,True
48101.0,baseline,109.0,True,3.2612801348363973e-16,2.7755575615628914e-11,8.846257060213247e-13,True
48101.0,baseline,110.0,True,5.551115123125783e-17,2.7755575615628914e-11,1.5193446500916252e-10,True
48101.0,baseline,111.0,True,2.7755575615628914e-17,5.551115123125783e-11,1.9094459347002157e-10,True
48101.0,baseline,112.0,True,6.938893903907228e-16,2.7755575615628914e-11,6.705747068735946e-14,True
48101.0,baseline,113.0,True,3.608224830031759e-16,0.0,1.141309269314661e-13,True
48101.0,baseline,114.0,True,5.551115123125783e-17,5.551115123125783e-11,6.572520305780927e-14,True
48101.0,baseline,115.0,True,8.326672684688674e-17,0.0,7.864819906444609e-13,True
