seed,market,scenario,root_id,p1,p2
48102,27,subsidy,0,2.721288394869769,2.775658415899534
48102,28,subsidy,0,2.4882656958096225,2.639657082229519
48102,29,subsidy,0,2.975047475181982,2.6200487967833364
48102,30,subsidy,0,2.4870249285549852,2.75725249295166
48102,31,subsidy,0,2.5594024592896143,2.57867738098949
48102,32,subsidy,0,2.8605162204083254,2.8821761474361933
48102,33,subsidy,0,2.9333688340842445,2.8075257879665436
48102,34,subsidy,0,2.704950126842406,2.429003669588486
48102,35,subsidy,0,2.575185821212531,2.4595037190269187
48102,36,subsidy,0,2.8403002583827957,2.624685814625739
48102,37,subsidy,0,2.5189673337965734,2.661243584880279
48102,38,subsidy,0,2.5565250026909254,2.4886850736682975
48102,39,subsidy,0,2.659155276901371,2.512518863960776
48102,40,subsidy,0,2.465646989208936,2.6813547737824606
48102,41,subsidy,0,2.9091829567076646,3.080707615396391
48102,42,subsidy,0,2.661723499528633,2.4029388514377876
48102,43,subsidy,0,2.451602614396855,2.6797639582038846
48102,44,subsidy,0,2.6695675238530217,3.0695619947775232
48102,45,subsidy,0,2.726368515789239,2.803102644334168
48102,46,subsidy,0,2.547578540299319,3.0793457000671878
48102,47,subsidy,0,2.7201659833928202,2.5799869494541747
48102,48,subsidy,0,2.669510943725642,2.7867771861141555
48102,49,subsidy,0,2.6345787087725197,2.963380649027249
48102,50,subsidy,0,2.7904430100277957,2.412729253347211
48102,51,subsidy,0,2.855267643827139,3.0500459313482917
48102,52,subsidy,0,2.6827116572387215,2.8346628288018616
48102,53,subsidy,0,2.714406336439184,2.9756591621348765
48102,54,subsidy,0,2.726482694053176,2.832566024121272
48102,55,subsidy,0,2.6382245718789363,2.6635709506743797
48102,56,subsidy,0,2.5093649278415278,2.992680368082985
48102,57,subsidy,0,2.633496882669703,2.414558195537343
48102,58,subsidy,0,2.6542554517494072,2.456498177627271
48102,59,subsidy,0,3.055818126758199,3.0295679548952106
48102,60,subsidy,0,2.717524245140123,2.6494706314075787
48102,61,subsidy,0,2.6293456381557436,2.9486468831527275
48102,62,subsidy,0,2.72473657087673,2.8128846318000504
48102,63,subsidy,0,2.9453679808310604,2.878451645266481
48102,64,subsidy,0,3.044967245976738,2.760928097079942
48102,65,subsidy,0,2.2854319607774696,2.9582481585839777
48102,66,subsidy,0,2.7090309596394544,2.959128462367449
48102,67,subsidy,0,2.8366535776755906,2.5881416407066977
48102,68,subsidy,0,2.476162927534569,2.892621840907036
48102,69,subsidy,0,2.827536736754159,2.786467441602285
48102,70,subsidy,0,2.921480834508893,2.5671130644335642
48102,71,subsidy,0,2.6608019334928845,3.0087545510164397
48102,72,subsidy,0,2.774007551076246,2.3861905932396055
48102,73,subsidy,0,2.77586355244821,2.8326513689161086
48102,74,subsidy,0,2.952393670263711,2.7834858243608718
48102,75,subsidy,0,2.3586515441632665,2.793654756422523
48102,76,subsidy,0,2.6055741656999314,2.610976601411893
48102,77,subsidy,0,2.597191046420856,3.0443053464859635
48102,78,subsidy,0,2.670577542501923,2.676474569489082
48102,79,subsidy,0,2.4296107529648086,2.5753941128584477
48102,80,subsidy,0,2.693084464828923,3.262445271414629
48102,81,subsidy,0,2.983663143008865,2.846150875325734
48102,82,subsidy,0,2.7269603574158827,2.905434395826713
48102,83,subsidy,0,2.737043917552742,2.582097622179186
48102,84,subsidy,0,2.8178532170069075,2.7638743611520433
48102,85,subsidy,0,2.795976142929733,2.532899337073907
48102,86,subsidy,0,2.4918721149569447,2.725076916834526
48102,87,subsidy,0,2.6595026823009777,2.7516794419109525
48102,88,subsidy,0,2.670746339592332,2.8980699574201987
48102,89,subsidy,0,2.693410996828016,2.7842191705715864
48102,90,subsidy,0,2.8399748330080463,2.8195173200342074
48102,91,subsidy,0,2.8511343709468915,2.800477809782057
48102,92,subsidy,0,2.838705257074119,2.64006263768693
48102,93,subsidy,0,2.64250748413984,2.8743905405694803
48102,94,subsidy,0,2.772622598483526,2.7331429478480094
48102,95,subsidy,0,2.693325213335626,2.780684292208346
48102,96,subsidy,0,2.895614234004371,2.545541450214597
48102,97,subsidy,0,2.775456460884206,2.974946836663295
48102,98,subsidy,0,2.579490501756208,2.7005008935591035
48102,99,subsidy,0,2.7114917566029173,2.8580290577568355
48102,100,subsidy,0,2.781309839838658,2.530186310964379
48102,101,subsidy,0,2.827340922885554,2.5242188834595525
48102,102,subsidy,0,2.771904497949831,2.737877236395469
48102,103,subsidy,0,3.026432446397855,2.9342964393110638
48102,104,subsidy,0,2.881739397775647,2.5907010380579787
48102,105,subsidy,0,2.7837442260526872,2.824956275252024
48102,106,subsidy,0,2.8587470001912862,2.622535192128482
48102,107,subsidy,0,2.8278241359303355,2.7391611666032216
48102,108,subsidy,0,2.881612661274862,2.423218641065515
48102,109,subsidy,0,2.48181207567329,2.5080464851702837
48102,110,subsidy,0,2.6874057329539243,2.8740425696531857
48102,111,subsidy,0,2.848300304194778,2.6721491062542015
48102,112,subsidy,0,2.980460482685139,2.7196790004438807
48102,113,subsidy,0,2.739523510289163,2.703326965023348
48102,114,subsidy,0,2.7652312493814484,2.6916998796491693
48102,115,subsidy,0,2.7431922067672105,2.29495427393407
48102,116,subsidy,0,2.486011036005546,2.904901031422616
48102,117,subsidy,0,2.8806478226774317,2.5854411461711124
48102,118,subsidy,0,2.745318258623798,2.8187824838367295
48102,119,subsidy,0,2.6825326311756603,2.63340063070132
48103,0,baseline,0,2.962816246039303,2.7391481534167994
48103,1,baseline,0,2.9815808034935594,2.876560885886044
48103,2,baseline,0,2.932424875181309,2.780356654541561
48103,3,baseline,0,2.867028038590267,3.163136777180485
48103,4,baseline,0,2.826970034581126,2.9308030509727936
